prompt_id,prompt,stratum,verified_correct_count,verified_wrong_count,unaudited_count,top_1_id,top_1_label,top_1_sim,top_2_id,top_2_label,top_2_sim,top_3_id,top_3_label,top_3_sim,top_4_id,top_4_label,top_4_sim,top_5_id,top_5_label,top_5_sim
1,What medical coverage is provided by universities in USA?,C,5,0,0,55b51556b7faf9bf,verified_correct,1.0000,55b51556b7faf9bf,verified_correct,1.0000,55b51556b7faf9bf,verified_correct,1.0000,55b51556b7faf9bf,verified_correct,1.0000,55b51556b7faf9bf,verified_correct,1.0000
2,What are the GRE requirements for Harvard Medical School?,excluded,0,0,5,b42c1360f4c06598,unaudited,1.0000,d2a80e07605620fa,unaudited,0.8538,05b9b86e02be7fec,unaudited,0.7971,032f8a2e78ca719d,unaudited,0.7857,208337f8ab3125b3,unaudited,0.7742
3,What factors should I consider when choosing a university for Computer Science?,C,5,0,0,e68c159c3d6ea556,verified_correct,1.0000,e68c159c3d6ea556,verified_correct,1.0000,e68c159c3d6ea556,verified_correct,1.0000,e68c159c3d6ea556,verified_correct,1.0000,e68c159c3d6ea556,verified_correct,1.0000
4,How do I write a strong SOP for MBA at MIT?,excluded,0,0,5,561f11a18dc9a838,unaudited,1.0000,561f11a18dc9a838,unaudited,1.0000,561f11a18dc9a838,unaudited,1.0000,561f11a18dc9a838,unaudited,1.0000,561f11a18dc9a838,unaudited,1.0000
5,What scholarships are available for Pakistani students in Canada?,excluded,0,0,5,81b42d0d7cbdbab5,unaudited,1.0000,ca99fcd05805c597,unaudited,0.8839,ca99fcd05805c597,unaudited,0.8839,ca99fcd05805c597,unaudited,0.8839,21ae07b30f63358e,unaudited,0.8748
6,What documents do I need for applying to MBA?,excluded,0,0,5,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000,a1fd853633d9e6c4,unaudited,1.0000
7,Can you explain the admission process for Dhaka University?,excluded,0,0,5,8e309ed19849ef9a,unaudited,1.0000,8e309ed19849ef9a,unaudited,1.0000,22abd4c207474f70,unaudited,0.7314,22abd4c207474f70,unaudited,0.7314,9dd43f0b3576342a,unaudited,0.7297
8,What language support services do universities offer?,C,5,0,0,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000,532ae98bdaaa05cc,verified_correct,1.0000
9,How can I adjust to student life in Australia?,excluded,0,0,5,81e02b955dce1742,unaudited,1.0000,81e02b955dce1742,unaudited,1.0000,81e02b955dce1742,unaudited,1.0000,81e02b955dce1742,unaudited,1.0000,81e02b955dce1742,unaudited,1.0000
10,Social activities and events for international students?,C,5,0,0,15d2778e7f8bd6c5,verified_correct,1.0000,15d2778e7f8bd6c5,verified_correct,1.0000,15d2778e7f8bd6c5,verified_correct,1.0000,15d2778e7f8bd6c5,verified_correct,1.0000,15d2778e7f8bd6c5,verified_correct,1.0000
11,How does the healthcare system work for international students in Australia?,excluded,0,0,5,5d928597eefce79b,unaudited,1.0000,5d928597eefce79b,unaudited,1.0000,5d928597eefce79b,unaudited,1.0000,5d928597eefce79b,unaudited,1.0000,5d928597eefce79b,unaudited,1.0000
12,What documents do I need to rent in Canada?,excluded,0,0,5,a83646ac1be93c93,unaudited,1.0000,a83646ac1be93c93,unaudited,1.0000,a83646ac1be93c93,unaudited,1.0000,a83646ac1be93c93,unaudited,1.0000,a83646ac1be93c93,unaudited,1.0000
13,How much should I budget monthly for London?,excluded,0,0,5,9f6075e8a66229b3,unaudited,1.0000,9f6075e8a66229b3,unaudited,1.0000,9f6075e8a66229b3,unaudited,1.0000,9f6075e8a66229b3,unaudited,1.0000,9f6075e8a66229b3,unaudited,1.0000
14,Can you explain the admission process for MIT?,excluded,0,0,5,3f9a37fcb639a306,unaudited,1.0000,3f9a37fcb639a306,unaudited,1.0000,3f9a37fcb639a306,unaudited,1.0000,3f9a37fcb639a306,unaudited,1.0000,3f9a37fcb639a306,unaudited,1.0000
15,Which universities in Canada are best for Engineering?,excluded,0,0,5,3cffb4b4c6e8a9e7,unaudited,1.0000,bf5e2f337bbc0e95,unaudited,0.8059,9a17ef4d8522d0c4,unaudited,0.7866,9a17ef4d8522d0c4,unaudited,0.7866,9a17ef4d8522d0c4,unaudited,0.7866
16,How do I write a strong SOP for MS in Data Science at MIT?,excluded,0,0,5,daa6a732fb259931,unaudited,1.0000,daa6a732fb259931,unaudited,1.0000,daa6a732fb259931,unaudited,1.0000,daa6a732fb259931,unaudited,1.0000,daa6a732fb259931,unaudited,1.0000
17,How long does it take to get a student visa for UK?,W,0,5,0,54a61bed01979568,verified_wrong,1.0000,54a61bed01979568,verified_wrong,1.0000,54a61bed01979568,verified_wrong,1.0000,54a61bed01979568,verified_wrong,1.0000,54a61bed01979568,verified_wrong,1.0000
18,Research funding options for international students?,C,5,0,0,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000,8e7ae2bc2ba11370,verified_correct,1.0000
19,Tell me about need-based financial aid options in UK,C,5,0,0,76942c3b84150f61,verified_correct,1.0000,76942c3b84150f61,verified_correct,1.0000,76942c3b84150f61,verified_correct,1.0000,76942c3b84150f61,verified_correct,1.0000,76942c3b84150f61,verified_correct,1.0000
